Sl_No,Ministry,Sector,Project_Name,Agency,Project_Code,State,Approval_Date,Start_Date,Target_DoC,Revised_DoC,Original_Cost_Cr,Revised_Cost_Cr,Cumulative_Expenditure_Cr,Physical_Progress_Pct,Page
401,Ministry of Petroleum & Natural Gas,Oil & Gas,Setting up Polypropylene Unit at Kochi Refinery,Bharat Petroleum Corporation Limited [BPCL],709799,Kerala,12/2023,12/2023,10/2027,11/2027,4460.00,0.00,1077.50,50.10,76
402,Ministry of Petroleum & Natural Gas,Oil & Gas,50 MW Wind Power Plant in Madhya Pradesh,Bharat Petroleum Corporation Limited [BPCL],244981,Madhya Pradesh,05/2023,05/2023,04/2027,-,483.14,0.00,183.53,67.50,76
403,Ministry of Petroleum & Natural Gas,Oil & Gas,C2/C3 Vijaipur Pata Pipeline,Gas Authority of India Limited [GAIL],617830,Madhya Pradesh,05/2024,05/2024,01/2027,01/2027,1792.00,0.00,550.50,74.60,76
404,Ministry of Petroleum & Natural Gas,Oil & Gas,Ethylene Cracker Project at Bina Refinery including downstream Petrochemical Plants and expansion of Refinery,Bharat Petroleum Corporation Limited [BPCL],709798,Madhya Pradesh,05/2023,05/2023,05/2028,05/2028,43367.00,0.00,6688.50,36.60,76
405,Ministry of Petroleum & Natural Gas,Oil & Gas,"Vijaipur – BPCL, Bina Pipeline Project",Gas Authority of India Limited [GAIL],929104,Madhya Pradesh,09/2025,09/2025,09/2027,-,449.04,0.00,1.40,16.40,77
406,Ministry of Petroleum & Natural Gas,Oil & Gas,"500 KTA PDHPP Project, Usar",Gas Authority of India Limited [GAIL],400168,Maharashtra,04/2021,04/2021,04/2025,06/2027,8797.00,0.00,8971.88,92.40,77
407,Ministry of Petroleum & Natural Gas,Oil & Gas,Lube Modernization & Bottom Upgradation Project at Mumbai Refinery,Hindustan Petroleum Corporation Limited,616933,Maharashtra,12/2024,12/2024,03/2028,08/2029,4679.00,0.00,326.17,15.80,77
408,Ministry of Petroleum & Natural Gas,Oil & Gas,Petro Resid Fluidized Catalytic Cracking [PRFCC] Unit and its associated facilities at Mumbai Refinery,Bharat Petroleum Corporation Limited [BPCL],619223,Maharashtra,05/2025,05/2025,09/2029,09/2029,13626.00,0.00,109.00,8.40,77
409,Ministry of Petroleum & Natural Gas,Oil & Gas,Augmentation of DUPL-DPPL Pipeline,Gas Authority of India Limited [GAIL],619224,Maharashtra,06/2025,06/2025,03/2028,03/2028,844.00,0.00,1.60,19.70,77
410,Ministry of Petroleum & Natural Gas,Oil & Gas,Installation of Compression facility at GAIL Usar,Gas Authority of India Limited [GAIL],619225,Maharashtra,04/2025,04/2025,04/2027,04/2027,260.20,0.00,0.00,0.00,77
411,Ministry of Petroleum & Natural Gas,Oil & Gas,ONGC-BP Redevelopment Phase-1 Scheme of Mumbai High Field,Oil and Natural Gas Corporation Limited [ONGC],619328,Maharashtra,11/2025,11/2025,03/2027,03/2027,3713.40,0.00,2461.06,56.30,77
412,Ministry of Petroleum & Natural Gas,Oil & Gas,Setting up Coprocessing facility in KHT Unit for production of SAF at MR,Bharat Petroleum Corporation Limited [BPCL],684624,Maharashtra,01/2026,01/2026,12/2027,-,677.00,0.00,10.54,19.20,77
413,Ministry of Petroleum & Natural Gas,Oil & Gas,GAS Turbine GT-3 upgrade from frame 6B to 6B.03,Bharat Petroleum Corporation Limited [BPCL],687613,Maharashtra,01/2026,01/2026,07/2027,-,217.81,0.00,0.02,12.50,77
414,Ministry of Petroleum & Natural Gas,Oil & Gas,"City Gas Distribution Project at Beed, Jalgaon and Jalna Districts",Indian Oil Corporation Limited [IOCL],709771,Maharashtra,03/2022,03/2022,09/2031,09/2031,865.00,0.00,89.81,3.40,77
415,Ministry of Petroleum & Natural Gas,Oil & Gas,Construction of Additional Tankages and Allied Facilities at JNPT Terminal,Indian Oil Corporation Limited [IOCL],709780,Maharashtra,04/2022,04/2022,08/2026,12/2027,341.43,0.00,305.01,73.10,77
416,Ministry of Petroleum & Natural Gas,Oil & Gas,POL & LOBS Installations with Receipt Pipelines at Rasayani,Bharat Petroleum Corporation Limited [BPCL],709797,Maharashtra,05/2023,05/2023,05/2026,09/2026,2585.00,0.00,1565.53,92.50,77
417,Ministry of Petroleum & Natural Gas,Oil & Gas,Visakh Raipur Pipeline Project,Hindustan Petroleum Corporation Limited,616254,"Multi-States (Chhattisgarh, Odisha)",09/2024,09/2024,09/2027,09/2027,2212.00,0.00,576.00,39.90,77
418,Ministry of Petroleum & Natural Gas,Oil & Gas,"Augmentation/ Revamping of Dimapur Depot, Dimapur",Indian Oil Corporation Limited [IOCL],709786,Nagaland,08/2023,08/2023,11/2027,11/2027,227.62,0.00,28.65,44.20,77
419,Ministry of Petroleum & Natural Gas,Oil & Gas,Integrated Para Xylene [PX] and Purified Terephthalic Acid [PTA] Project at Paradip Refinery,Indian Oil Corporation Limited [IOCL],604859,Odisha,07/2020,07/2020,01/2024,09/2026,13805.00,0.00,8995.00,95.20,77
420,Ministry of Petroleum & Natural Gas,Oil & Gas,"City Gas Distribution [CGD] Project in Gajapati, Kandhamal, Boudh, & Sonepur GA",GAIL Gas,617818,Odisha,02/2022,02/2022,12/2031,12/2031,514.91,0.00,25.77,6.00,77
421,Ministry of Petroleum & Natural Gas,Oil & Gas,"CUF POL Depot at Sadashibpur [Meramundali], Odisha",Bharat Petroleum Corporation Limited [BPCL],709800,Odisha,04/2021,04/2021,03/2026,09/2026,393.54,0.00,237.30,87.40,77
422,Ministry of Petroleum & Natural Gas,Oil & Gas,Life Extension of 48 well platforms of Mumbai High & Heera Fields,Oil and Natural Gas Corporation Limited [ONGC],400119,Offshore,12/2015,12/2015,04/2018,10/2026,3190.69,0.00,3123.20,90.00,77
423,Ministry of Petroleum & Natural Gas,Oil & Gas,PRP-VIII [Group-A],Oil and Natural Gas Corporation Limited [ONGC],616950,Offshore,09/2024,09/2024,02/2026,03/2027,1589.40,0.00,663.00,61.30,77
424,Ministry of Petroleum & Natural Gas,Oil & Gas,Pipeline Replacement Project- PRP-IX,Oil and Natural Gas Corporation Limited [ONGC],619314,Offshore,08/2025,08/2025,05/2027,05/2027,3471.72,0.00,1250.00,29.30,77
425,Ministry of Petroleum & Natural Gas,Oil & Gas,Daman Upside Development Project,Oil and Natural Gas Corporation Limited [ONGC],709839,Offshore,06/2022,06/2022,10/2025,12/2026,4144.41,0.00,6302.50,92.90,77
426,Ministry of Petroleum & Natural Gas,Oil & Gas,MHN TCPP PGC BGC Project [MTPBP],Oil and Natural Gas Corporation Limited [ONGC],709848,Offshore,06/2022,06/2022,05/2026,12/2026,2329.45,0.00,1940.25,96.10,77
427,Ministry of Petroleum & Natural Gas,Oil & Gas,PRP-VIII Group B [NH & BS Asset],Oil and Natural Gas Corporation Limited [ONGC],709849,Offshore,06/2024,06/2024,02/2026,12/2026,2546.90,0.00,3003.90,98.70,78
428,Ministry of Petroleum & Natural Gas,Oil & Gas,Integrated Development of 4 Contract Areas under DSF-II,Oil and Natural Gas Corporation Limited [ONGC],709851,Offshore,05/2023,05/2023,04/2027,04/2027,6183.79,0.00,2053.00,48.70,78
429,Ministry of Petroleum & Natural Gas,Oil & Gas,"Well Head Platforms for MB-OSN-2005/1, SD4 and BS-17 Field (WHPMSBF)",Oil and Natural Gas Corporation Limited [ONGC],757296,Offshore,07/2026,07/2026,03/2029,-,5519.00,0.00,0.00,0.00,78
430,Ministry of Petroleum & Natural Gas,Oil & Gas,Pipeline Replacement Project- PRP-X,Oil and Natural Gas Corporation Limited [ONGC],785574,Offshore,07/2026,07/2026,05/2027,-,4371.00,0.00,0.00,0.00,78
431,Ministry of Petroleum & Natural Gas,Oil & Gas,Additional Development of Ratna-I [ADR-I] and NLM-14 Project,Oil and Natural Gas Corporation Limited [ONGC],944988,Offshore,07/2026,07/2026,03/2029,-,6274.00,0.00,0.00,0.00,78
432,Ministry of Petroleum & Natural Gas,Oil & Gas,2G Ethanol Biorefinery at Bathinda,Hindustan Petroleum Corporation Limited,400171,Punjab,05/2020,05/2020,02/2023,12/2026,1421.46,0.00,1297.86,95.90,78
433,Ministry of Petroleum & Natural Gas,Oil & Gas,Gurdaspur Jammu Pipeline,Gas Authority of India Limited [GAIL],612853,Punjab,07/2023,07/2023,07/2026,09/2026,521.90,0.00,349.20,92.30,78
434,Ministry of Petroleum & Natural Gas,Oil & Gas,City Gas Distribution Project at Pathankot District,Indian Oil Corporation Limited [IOCL],709770,Punjab,03/2022,03/2022,09/2033,09/2033,151.00,0.00,9.05,2.00,78
435,Ministry of Petroleum & Natural Gas,Oil & Gas,Mehsana-Bhatinda & Bhatinda-Jammu Natural Gas Pipeline,Indian Oil Corporation Limited [IOCL],701330,Rajasthan,07/2011,07/2011,06/2024,03/2027,7392.00,0.00,6365.13,90.20,78
436,Ministry of Petroleum & Natural Gas,Oil & Gas,"City Gas Distribution Projects at Fazilka [except area already authorized], Ganganagar and Hanumangarh districts",Bharat Petroleum Corporation Limited [BPCL],709794,Rajasthan,12/2022,12/2022,06/2030,06/2030,3207.00,0.00,431.76,31.90,78
437,Ministry of Petroleum & Natural Gas,Oil & Gas,Group-II/III LOBS Project,Chennai Petroleum Corporation Limited [CPCL],167179,Tamil Nadu,03/2026,03/2026,10/2028,-,1620.00,0.00,77.53,2.20,78
438,Ministry of Petroleum & Natural Gas,Oil & Gas,CBR 9 MMTPA Project,Chennai Petroleum Corporation Limited [CPCL],604795,Tamil Nadu,09/2021,09/2021,06/2025,10/2028,31580.00,0.00,1615.53,10.20,78
439,Ministry of Petroleum & Natural Gas,Oil & Gas,Kochi - Koottanad - Bangalore - Mangalore Pipeline Phase-II,Gas Authority of India Limited [GAIL],701228,Tamil Nadu,06/2009,06/2009,12/2012,09/2026,2915.00,0.00,4897.90,97.60,78
440,Ministry of Petroleum & Natural Gas,Oil & Gas,Laying of new 28 inch Desal Water Pipeline and 10 inch Reject Water Pipeline between CPCL Manali Refinery and CPCL Desalination plant at Ennore,Chennai Petroleum Corporation Limited [CPCL],709750,Tamil Nadu,01/2024,01/2024,09/2025,12/2026,205.00,0.00,117.98,79.10,78
441,Ministry of Petroleum & Natural Gas,Oil & Gas,City Gas Distribution Projects at the Nilgiris and Erode districts,Bharat Petroleum Corporation Limited [BPCL],709796,Tamil Nadu,12/2022,12/2022,03/2030,03/2030,3685.00,0.00,322.83,25.60,78
442,Ministry of Petroleum & Natural Gas,Oil & Gas,ATF Pipeline from BPCLs Malkapur POL Installation to Hyderabad International airport,Bharat Petroleum Corporation Limited [BPCL],617822,Telangana,03/2025,03/2025,09/2027,09/2027,215.00,0.00,47.50,34.10,78
443,Ministry of Petroleum & Natural Gas,Oil & Gas,North East Gas Grid,Indradhanush Gas Grid Limited,701346,Tripura,04/2020,04/2020,03/2024,03/2028,9265.00,0.00,7011.75,88.60,78
444,Ministry of Petroleum & Natural Gas,Oil & Gas,"Creation of Gas Dehydration Facilities, Tripura Asset",Oil and Natural Gas Corporation Limited [ONGC],709837,Tripura,03/2022,03/2022,05/2024,10/2026,209.33,0.00,81.31,72.00,78
445,Ministry of Petroleum & Natural Gas,Oil & Gas,Kanpur LPG Bottling Plant,Bharat Petroleum Corporation Limited [BPCL],619191,Uttar Pradesh,09/2025,09/2025,09/2027,09/2027,202.00,0.00,133.17,65.00,78
446,Ministry of Petroleum & Natural Gas,Oil & Gas,Bulk Loading Hub- Kanpur,Bharat Petroleum Corporation Limited [BPCL],619312,Uttar Pradesh,09/2025,09/2025,09/2027,09/2027,186.00,0.00,107.80,65.00,78
447,Ministry of Petroleum & Natural Gas,Oil & Gas,Revamping / Augmentation of Facilities at Mathura Bitumen Plant,Indian Oil Corporation Limited [IOCL],709781,Uttar Pradesh,04/2022,04/2022,06/2027,06/2027,260.12,0.00,25.84,58.80,78
448,Ministry of Petroleum & Natural Gas,Oil & Gas,"City Gas Distribution Projects at Lakhimpur Kheri , Sitapur, Bahraich, Shravasti,Balrampur, Siddharth Nagar & Maharajganj districts",Bharat Petroleum Corporation Limited [BPCL],709795,Uttar Pradesh,12/2022,12/2022,06/2030,06/2030,16654.00,0.00,763.51,20.00,78
449,Ministry of Petroleum & Natural Gas,Oil & Gas,Durgapur - Haldia Pipeline [Section-3B of JHBDPL Project],Gas Authority of India Limited [GAIL],617302,West Bengal,03/2017,03/2017,12/2020,09/2026,1740.00,0.00,2392.60,95.70,79
450,Ministry of Petroleum & Natural Gas,Oil & Gas,Siliguri-Jhapa Pipeline Project,Indian Oil Corporation Limited [IOCL],617828,West Bengal,09/2024,09/2024,08/2029,08/2029,267.00,0.00,3.40,17.50,79
451,Ministry of Petroleum & Natural Gas,Oil & Gas,Siliguri Marketing Terminal [SMT] Capacity Augmentation Project,Numaligarh Refinery Limited,617837,West Bengal,11/2021,11/2021,12/2025,10/2026,484.00,0.00,321.23,90.00,79
452,Ministry of Petroleum & Natural Gas,Oil & Gas,Dhamra Haldia Pipeline Project,Gas Authority of India Limited [GAIL],701344,West Bengal,03/2020,03/2020,11/2022,09/2026,1030.65,0.00,929.00,94.50,79
453,Ministry of Petroleum & Natural Gas,Oil & Gas,"City Gas Distribution Project at East Mednipore, West Mednipore & Jhargram Districts",Indian Oil Corporation Limited [IOCL],709772,West Bengal,03/2022,03/2022,06/2031,06/2031,609.00,0.00,64.84,3.10,79
454,Ministry of Petroleum & Natural Gas,Oil & Gas,City Gas Distribution Projects at Alipurduar and Cooch Behar,Bharat Petroleum Corporation Limited [BPCL],709791,West Bengal,12/2022,12/2022,03/2030,03/2030,1017.00,0.00,246.55,44.00,79
455,Ministry of Health & Family Welfare,Healthcare,AIIMS Darbhanga,PMSSY AND Institute of NATIONAL Importance,701172,Bihar,09/2020,09/2020,07/2029,-,2006.07,0.00,40.33,1.13,79
456,Ministry of Health & Family Welfare,Healthcare,Establishment of new GMC Jamui,"Medical Education, Ministry of Health and Family Welfare",707020,Bihar,03/2019,10/2022,10/2025,-,250.00,0.00,103.41,32.00,79
457,Ministry of Health & Family Welfare,Healthcare,Establishment of new GMC Korba,"Medical Education, Ministry of Health and Family Welfare",707044,Chhattisgarh,02/2023,10/2023,12/2026,-,325.00,0.00,179.59,56.00,79
458,Ministry of Health & Family Welfare,Healthcare,Establishment of new GMC Mahasamund,"Medical Education, Ministry of Health and Family Welfare",707045,Chhattisgarh,10/2023,10/2023,05/2026,-,325.00,0.00,321.70,84.00,79
459,Ministry of Health & Family Welfare,Healthcare,Establishment of new GMC Kanker,"Medical Education, Ministry of Health and Family Welfare",707046,Chhattisgarh,02/2020,09/2024,03/2027,-,325.00,0.00,37.10,45.00,79
460,Ministry of Health & Family Welfare,Healthcare,"Setting up IT Infrastructure including Network Security and Hosting at AIIMS, New Delhi",PMSSY AND Institute of NATIONAL Importance,617882,Delhi,09/2025,09/2025,09/2026,-,358.19,0.00,53.73,50.00,79
461,Ministry of Health & Family Welfare,Healthcare,"Redevelopment of Residential colonies at Ayur Vigyan Nagar and West Ansari Nagar campuses of AIIMS, New Delhi",PMSSY AND Institute of NATIONAL Importance,617883,Delhi,10/2016,06/2022,06/2027,-,4441.00,0.00,44.44,57.00,79
462,Ministry of Health & Family Welfare,Healthcare,AIIMS Rajkot,PMSSY AND Institute of NATIONAL Importance,701170,Gujarat,01/2019,01/2019,03/2026,12/2026,1195.00,0.00,809.29,94.10,79
463,Ministry of Health & Family Welfare,Healthcare,Establishment of new GMC Panchmahal,"Medical Education, Ministry of Health and Family Welfare",707049,Gujarat,09/2022,09/2022,03/2026,-,325.00,0.00,467.35,98.00,79
464,Ministry of Health & Family Welfare,Healthcare,Establishment of new GMC Porbandar,"Medical Education, Ministry of Health and Family Welfare",707050,Gujarat,04/2022,10/2022,09/2024,-,325.00,0.00,936.84,81.00,79
465,Ministry of Health & Family Welfare,Healthcare,AIIMS Majra Rewari Haryana,Ministry of Health and Family Welfare,701173,Haryana,02/2019,02/2019,12/2026,12/2026,1299.00,0.00,772.62,69.70,79
466,Ministry of Health & Family Welfare,Healthcare,AIIMS Kashmir at Awantipora Jammu & Kashmir,PMSSY AND Institute of NATIONAL Importance,701167,Jammu and Kashmir,01/2019,03/2019,12/2025,12/2026,1828.00,0.00,1624.30,80.00,79
467,Ministry of Health & Family Welfare,Healthcare,Establishment of new GMc Udhampur,"Medical Education, Ministry of Health and Family Welfare",707051,Jammu and Kashmir,09/2019,01/2022,03/2027,-,325.00,0.00,226.08,85.00,79
468,Ministry of Health & Family Welfare,Healthcare,Establishment of new GMC Koderma,"Medical Education, Ministry of Health and Family Welfare",707021,Jharkhand,09/2023,02/2024,08/2026,-,250.00,0.00,271.00,40.00,79
469,Ministry of Health & Family Welfare,Healthcare,Establishment of new GMC Chaibasa [Singhbhum],"Medical Education, Ministry of Health and Family Welfare",707022,Jharkhand,06/2018,03/2023,09/2025,09/2026,250.00,0.00,333.10,83.00,79
470,Ministry of Health & Family Welfare,Healthcare,Establishment of new GMC Rajgarh,"Medical Education, Ministry of Health and Family Welfare",707058,Madhya Pradesh,12/2021,11/2022,04/2024,-,325.00,0.00,179.50,86.00,80
471,Ministry of Health & Family Welfare,Healthcare,Establishment of new GMC Mandla,"Medical Education, Ministry of Health and Family Welfare",707059,Madhya Pradesh,08/2023,10/2023,04/2026,-,325.00,0.00,89.41,45.50,80
472,Ministry of Health & Family Welfare,Healthcare,Establishment of new GMC Kapurthala,"Medical Education, Ministry of Health and Family Welfare",707069,Punjab,11/2019,07/2027,12/2028,-,325.00,0.00,50.00,1.00,80
473,Ministry of Health & Family Welfare,Healthcare,Establishment of new GMC Hoshiarpur,"Medical Education, Ministry of Health and Family Welfare",707070,Punjab,01/2020,03/2026,12/2028,-,325.00,0.00,2.04,5.00,80
474,Ministry of Health & Family Welfare,Healthcare,Establishment of new GMC Gangtok,"Medical Education, Ministry of Health and Family Welfare",707039,Sikkim,10/2018,12/2018,12/2026,07/2026,250.00,0.00,667.21,100.00,80
475,Ministry of Health & Family Welfare,Healthcare,ALL India Institute of Medical Sciences-AIIMS Madurai,PMSSY AND Institute of NATIONAL Importance,701168,Tamil Nadu,12/2018,12/2018,08/2022,10/2026,1264.00,0.00,567.36,57.00,80
476,Ministry of Health & Family Welfare,Healthcare,AIIMS Bibinagar,PMSSY AND Institute of NATIONAL Importance,701171,Telangana,12/2018,07/2022,06/2026,12/2026,1028.00,0.00,1037.55,87.71,80
477,Ministry of Health & Family Welfare,Healthcare,Establishment of new GMC Rudrapur,"Medical Education, Ministry of Health and Family Welfare",707086,Uttarakhand,10/2022,02/2024,12/2026,-,325.00,0.00,353.01,95.00,80
478,Ministry of Health & Family Welfare,Healthcare,Establishment of new GMC Pithoragarh,"Medical Education, Ministry of Health and Family Welfare",707087,Uttarakhand,08/2021,04/2023,12/2026,-,325.00,0.00,470.18,78.00,80
479,Ministry of Labour and Employment,Healthcare,"Construction of 350 beds + 50 Super Specialty beds ESIC Hospital Sheelanagar, Visakhapatnam, Andhra Pradesh",Employee's State Insurance Company [ESIC],612167,Andhra Pradesh,02/2021,04/2023,10/2025,08/2026,384.27,0.00,286.38,96.00,80
480,Ministry of Labour and Employment,Healthcare,350 Bedded [Upgradable to 500 beds] ESI Hospital at Sanand,Employee's State Insurance Company [ESIC],612186,Gujarat,06/2022,04/2023,03/2026,05/2027,558.12,0.00,92.20,32.00,80
481,Ministry of Labour and Employment,Healthcare,"Demolition, Construction and upgradation of ESI Hospital, Kalol, Gujarat from 50 beds to 150 beds.",Employee's State Insurance Company [ESIC],612211,Gujarat,08/2022,10/2023,10/2025,11/2026,205.87,0.00,68.90,61.00,80
482,Ministry of Labour and Employment,Healthcare,"Construction of 200 bed ESI Hospital at Bommasandra, Karnataka",Employee's State Insurance Company [ESIC],612745,Karnataka,02/2015,10/2024,01/2027,05/2027,278.00,0.00,80.52,38.00,80
483,Ministry of Labour and Employment,Healthcare,"Construction of 100 bed ESI Hospital and Staff Quarters [32 Nos.] at Harohalli, Karnataka",Employee's State Insurance Company [ESIC],612748,Karnataka,07/2019,03/2025,02/2027,-,150.92,0.00,31.05,32.05,80
484,Ministry of Labour and Employment,Healthcare,"Construction of 200 Bedded ESIC Hospital at Butibori, Nagpur, Maharashtra.",Employee's State Insurance Company [ESIC],612213,Maharashtra,10/2013,08/2022,08/2025,09/2026,194.93,0.00,116.22,67.00,80
485,Ministry of Labour and Employment,Healthcare,"Upgradation & Extension of ESIC Hospital and Construction of PG Hostel / Staff Housing for ESIC Hospital at Andheri, Mumbai",Employee's State Insurance Company [ESIC],616691,Maharashtra,12/2008,06/2009,08/2025,09/2026,260.13,0.00,216.46,89.00,80
486,Ministry of Labour and Employment,Healthcare,"Construction of 100 Bedded ESI Hospital at Duburi, Odisha.",Employee's State Insurance Company [ESIC],612513,Odisha,12/2010,02/2025,06/2027,-,164.60,0.00,17.52,7.20,80
487,Ministry of Labour and Employment,Healthcare,CONSTRUCTION OF 300 BEDDED HOSPITAL AT HARIDWAR,Employee's State Insurance Company [ESIC],612259,Uttarakhand,02/2021,12/2021,10/2024,07/2026,102.40,0.00,340.30,91.50,80
488,Ministry of Labour and Employment,Logistics Infrastructure,Integrated Multi Modal Logistics Hub at Nangal Chaudhary in Haryana - Other Trunk Infrastructure Development Phase 1,NICDC,707410,Haryana,05/2018,12/2021,12/2023,05/2028,763.00,0.00,430.00,60.00,80
489,Ministry of Labour and Employment,Real Estate,Orvakal Industrial Area,NICDC,617727,Andhra Pradesh,08/2024,10/2025,10/2028,-,2786.00,0.00,446.32,18.14,81
490,Ministry of Labour and Employment,Real Estate,Kopparthy Industrial Area,NICDC,617729,Andhra Pradesh,08/2024,10/2025,10/2028,-,2136.00,0.00,39.75,5.56,81
491,Ministry of Labour and Employment,Real Estate,Krishnapatnam Node - Phase 1 - Roads and Services Development,National Industrial Corridor Development Corporation,701658,Andhra Pradesh,12/2020,02/2024,02/2027,-,2139.44,0.00,1020.50,48.30,81
492,Ministry of Labour and Employment,Real Estate,Gaya Integrated Manufacturing Cluster IMC in Bihar,National Industrial Corridor Development Corporation,707420,Bihar,08/2024,04/2026,04/2029,-,1339.02,0.00,0.00,5.00,81
493,Ministry of Labour and Employment,Real Estate,Tumakuru Node - Phase 1 - Roads and Services Development,NICDC,701657,Karnataka,12/2020,02/2023,09/2026,09/2027,1701.81,0.00,375.68,28.65,81
494,Ministry of Labour and Employment,Real Estate,Development of Palakkad Node under extension of CBIC to Kochi,National Industrial Corridor Development Corporation,701668,Kerala,08/2024,10/2025,04/2029,-,3805.00,0.00,58.62,5.37,81
495,Ministry of Labour and Employment,Real Estate,IMC Rajpura - Patiala Development Project,National Industrial Corridor Development Corporation,701662,Punjab,08/2024,03/2026,09/2028,-,1367.72,0.00,0.00,4.95,81
496,Ministry of Labour and Employment,Real Estate,Development of Jodhpur Pali Marwar Industrial Area JPMIA in Rajasthan,National Industrial Corridor Development Corporation,603210,Rajasthan,08/2024,01/2026,07/2028,-,921.66,0.00,0.00,7.50,81
497,Ministry of Labour and Employment,Real Estate,Development of Zaheerabad Node under Hyderabad Nagpur Industrial Corridor,National Industrial Corridor Development Corporation,601812,Telangana,08/2024,02/2026,02/2029,-,2360.00,0.00,63.19,5.72,81
498,Ministry of Labour and Employment,Real Estate,IMC at Prayagraj,National Industrial Corridor Development Corporation,707419,Uttar Pradesh,08/2024,04/2026,06/2027,-,658.00,0.00,75.63,29.32,81
499,Ministry of Labour and Employment,Real Estate,Development of IMC Khurpia Farms under AKIC Project,National Industrial Corridor Development Corporation,701661,Uttarakhand,08/2024,03/2026,09/2028,-,1265.37,0.00,14.89,4.10,81
500,Ministry of Steel,Metals & Mining,Capacity expansion of Deposit-14 and 14 NMZ at Kirandul,National Mineral Development Corporation Limited [NMDC],615202,Chhattisgarh,08/2021,07/2022,12/2028,03/2028,1700.00,0.00,303.01,25.27,81
501,Ministry of Steel,Metals & Mining,Shaft Sinking Projects at Kandri Mine.,MOIL Limited,658240,Maharashtra,06/2025,04/2026,04/2030,-,196.90,0.00,2.85,0.90,81
502,Ministry of Steel,Metals & Mining,Shaft Sinking Projects at Dongri Buzurg Mine.,MOIL Limited,928129,Maharashtra,06/2025,04/2026,04/2030,-,217.45,0.00,3.94,0.60,81
503,Ministry of Steel,Steel,Installation of 140 TPH Walking Beam type Reheating Furnace in Plate Mill at BSP,Steel Authority of India Limited (SAIL,505491,Chhattisgarh,02/2026,03/2026,03/2028,-,268.36,0.00,0.00,0.00,81
504,Ministry of Steel,Steel,Replacement of Hot Leveller No.1 of Plate Mill at Bhilai Steel Plant,Steel Authority of India Limited [SAIL],617243,Chhattisgarh,07/2024,08/2024,07/2026,-,198.62,0.00,129.25,83.33,81
505,Ministry of Steel,Steel,"Replacement of Converter Vessels, Trunnion Rings, Support System & Installation of Secondary Emission at Bhilai Steel Plant",Steel Authority of India Limited [SAIL],617255,Chhattisgarh,10/2023,12/2023,06/2026,09/2026,471.83,0.00,272.56,78.97,81
506,Ministry of Steel,Steel,Rebuilding of Coke Oven Battery No.7 & 8 at Bhilai Steel Plant,Steel Authority of India Limited [SAIL],617256,Chhattisgarh,11/2023,01/2024,10/2025,09/2026,884.10,0.00,702.09,95.99,81
507,Ministry of Steel,Steel,NMDC Slurry Pipeline Project Phase-1,National Mineral Development Corporation Limited [NMDC],706811,Chhattisgarh,11/2015,09/2020,06/2023,08/2026,2907.00,0.00,3684.95,96.80,81
508,Ministry of Steel,Steel,SCREENING PLANT-III AT KIRANDUL,National Mineral Development Corporation Limited [NMDC],709826,Chhattisgarh,01/2009,10/2021,01/2026,07/2027,2718.84,0.00,1763.55,83.82,81
509,Ministry of Steel,Steel,Super accelerated cooling system (Uniform Cooling) for high strength plates in Plate Mill at BSP,Steel Authority of India Limited (SAIL,944288,Chhattisgarh,06/2025,06/2025,12/2026,-,192.21,0.00,79.05,65.15,82
510,Ministry of Steel,Steel,"New Sinter Plant at BSL, SAIL",Steel Authority of India Limited [SAIL],400174,Jharkhand,03/2015,10/2015,10/2027,06/2027,1034.01,0.00,1075.46,66.50,82
511,Ministry of Steel,Steel,Replacement of existing Grinders in CRM-I & II at Bokaro Steel Plant,Steel Authority of India Limited [SAIL],617249,Jharkhand,01/2025,02/2025,01/2027,-,211.94,0.00,143.18,69.27,82
512,Ministry of Steel,Steel,Secondary Emission Control in Converters of SMS-II at Bokaro Steel Plant,Steel Authority of India Limited [SAIL],617250,Jharkhand,01/2025,02/2025,10/2026,04/2027,207.13,0.00,110.21,57.59,82
513,Ministry of Steel,Steel,Replacement of remaining 04 sets of Battery Cyclones with 04 Nos. of ESPs in Sinter Plant-1 at Bokaro Steel Plant,Steel Authority of India Limited [SAIL],617254,Jharkhand,03/2024,04/2024,06/2026,04/2027,260.37,0.00,131.44,56.28,82
514,Ministry of Steel,Steel,Rebuilding of Coke Oven Battery No.6 at Bokaro Steel Plant,Steel Authority of India Limited [SAIL],617257,Jharkhand,11/2023,12/2023,11/2026,11/2027,627.31,0.00,365.64,70.50,82
515,Ministry of Steel,Steel,"Construction of Screening Plant-II for Donimalai and Kumaraswamy Iron Ore Mining Complex of NMDC Limited at Ballari Dt, Karnataka.",National Mineral Development Corporation Limited [NMDC],400121,Karnataka,11/2014,06/2024,08/2026,-,1043.63,0.00,658.17,72.70,82
516,Ministry of Steel,Steel,Stamp Charge Battery No.7 Coke Dry Cooling Plant at RSP,Steel Authority of India Limited (SAIL,478482,Odisha,02/2026,02/2026,08/2028,-,1064.55,0.00,75.81,0.00,82
517,Ministry of Steel,Steel,Implementation of Treatment System-2 Under ZLD at RSP,Steel Authority of India Limited (SAIL,589703,Odisha,02/2025,03/2025,09/2026,-,216.02,0.00,147.99,93.66,82
